Id,ClosedAccount,Age,Gender,Education,CivilState,Salary,Product,NumMonthsBeingClient,NumProductsClient,NumMonthsWithoutOperating,NumRelationshipsLast12Months,CreditLimit,CreditNotPayed,SumTransactionAmount,NumTransactions,Total_Ct_Chng_Q4_Q1,NumAvgTransactions
768805383,YES,45.0,M,High School,Married,$60K - $80K,Blue,39,5,1,3,12691.0,777.0,1144,42,1.625,0.061
818770008,YES,49.0,F,Graduate,Single,Less than $40K,Blue,44,6,1,2,8256.0,864.0,1291,33,3.714,0.105
713982108,YES,51.0,M,Graduate,Married,$80K - $120K,Blue,36,4,1,0,3418.0,0.0,1887,20,2.333,0.0
769911858,YES,40.0,,High School,Unknown,Less than $40K,Blue,34,3,4,1,3313.0,2517.0,1171,20,2.333,0.76
709106358,YES,40.0,M,Uneducated,Married,$60K - $80K,Blue,21,5,1,0,4716.0,0.0,816,28,2.5,0.0
713061558,YES,44.0,,Graduate,Married,$40K - $60K,Blue,36,3,1,2,4010.0,1247.0,1088,24,0.846,0.311
810347208,YES,51.0,M,Unknown,Married,$120K +,Gold,46,6,1,3,34516.0,2264.0,1330,31,0.722,0.066
818906208,YES,32.0,M,High School,Unknown,$60K - $80K,Silver,27,2,2,2,29081.0,1396.0,1538,36,0.714,0.048
710930508,YES,37.0,M,Uneducated,Single,$60K - $80K,Blue,36,5,2,0,22352.0,2517.0,1350,24,1.182,0.113
719661558,YES,48.0,M,Graduate,Single,$80K - $120K,Blue,36,6,3,3,11656.0,1677.0,1441,32,0.882,0.144
708790833,YES,42.0,M,Uneducated,Unknown,$120K +,Blue,31,5,3,2,6748.0,1467.0,1201,42,0.68,0.217
710821833,YES,65.0,M,Unknown,Married,$40K - $60K,Blue,54,6,2,3,9095.0,1587.0,1314,26,1.364,0.174
710599683,YES,56.0,M,College,Single,$80K - $120K,Blue,36,3,6,0,11751.0,0.0,1539,17,3.25,0.0
816082233,YES,35.0,M,Graduate,Unknown,$60K - $80K,Blue,30,5,1,3,8547.0,1666.0,1311,33,2.0,0.195
712396908,YES,57.0,F,Graduate,Married,Less than $40K,Blue,48,5,2,2,2436.0,680.0,1570,29,0.611,0.279
714885258,YES,44.0,M,Unknown,Unknown,$80K - $120K,Blue,37,5,1,2,4234.0,972.0,1348,27,1.7,0.23
709967358,YES,48.0,M,Post-Graduate,Single,$80K - $120K,Blue,36,6,2,3,30367.0,2362.0,1671,27,0.929,0.078
753327333,YES,41.0,M,Unknown,Married,$80K - $120K,Blue,34,4,4,1,13535.0,1291.0,1028,21,1.625,0.095
806160108,YES,61.0,M,High School,Married,$40K - $60K,Blue,56,2,2,3,3193.0,2517.0,1336,30,1.143,0.788
709327383,YES,45.0,F,Graduate,Married,Unknown,Blue,37,6,1,2,14470.0,1157.0,1207,21,0.909,0.08
806165208,YES,47.0,M,Doctorate,Divorced,$60K - $80K,Blue,42,5,2,0,20979.0,1800.0,1178,27,0.929,0.086
708508758,NO,62.0,F,Graduate,Married,Less than $40K,Blue,49,2,3,3,1438.3,0.0,692,16,0.6,0.0
784725333,YES,41.0,M,High School,Married,$40K - $60K,Blue,33,4,2,1,4470.0,680.0,931,18,1.571,0.152
811604133,YES,47.0,F,Unknown,Single,Less than $40K,Blue,36,3,3,2,2492.0,1560.0,1126,23,0.353,0.626
